Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
WAB,"Wabtec Corp",72.7,0.49000000000001,+0.68%,72.49,72.87,71.47,343294,"12:51 ET"
WAL,"Western Alliance Bancorp",60.91,1.91,+3.24%,59.57,61.24,59.51,154420,"12:49 ET"
WAT,"Waters Corp",247.07,0.78,+0.32%,246.92,248.23,245.77,36438,"12:50 ET"
WBA,"Walgreens Boots Alliance",39.95,0.68,+1.73%,39.46,40.23,39.4,2167383,"12:52 ET"
WBS,"Webster Financial Corp",42.41,1.34,+3.26%,41.72,42.59,41.5,103289,"12:50 ET"
WDAY,"Workday Inc",250.34,-7.37,-2.86%,256.28,258.89,250.34,839307,"12:50 ET"
WDC,"Western Digital Cp",50.3,0.58,+1.17%,49.95,50.6,49.41,1387354,"12:52 ET"
WEC,"Wisconsin Energy Corp",89.44,-0.030000000000001,-0.03%,89.86,90.04,89.14,393263,"12:52 ET"
WELL,"Welltower Inc",62.63,-0.039999999999999,-0.06%,62.5,63.43,62.43,460332,"12:52 ET"
WEN,"Wendys Company",22.2,-0.17,-0.76%,22.44,22.53,22.18,421759,"12:51 ET"
WEX,"Wex Inc",202.94,2.84,+1.42%,200.73,203.89,200.07,49642,"12:36 ET"
WFC,"Wells Fargo & Company",30.11,1.15,+3.97%,29.28,30.12,29,17824957,"12:52 ET"
WH,"Wyndham Hotels & Resorts Inc",56.09,1.59,+2.92%,55,56.25,54.54,233417,"12:51 ET"
WHR,"Whirlpool Corp",188.15,0.36000000000001,+0.19%,188.65,189.95,187.56,151253,"12:52 ET"
WLK,"Westlake Chemical Corp",81.99,0.84999999999999,+1.05%,81.75,82.97,81.64,68533,"12:44 ET"
WLTW,"Willis Towers WT",209.9,0.28,+0.13%,210.34,212.67,209.31,290838,"12:44 ET"
WM,"Waste Management",117.18,-0.73999999999999,-0.63%,117.81,118.31,117.12,298808,"12:50 ET"
WMB,"Williams Companies",20.81,0.2,+0.97%,20.85,21.07,20.72,2494726,"12:52 ET"
WMT,"Wal-Mart Stores",143.5,-0.69999999999999,-0.49%,143.54,144.22,142.3,3996255,"12:51 ET"
WORK,"Slack Technologies Inc",42.73,-0.15000000000001,-0.35%,42.95,43.04,42.57,4460580,"12:52 ET"
WPC,"W.P. Carey & CO Llc",70.62,0.32000000000001,+0.46%,70.73,71.4,70.3,223757,"12:44 ET"
WPX,"Wpx Energy Inc",8.05,0.44,+5.78%,7.8,8.19,7.74,1646025,"12:52 ET"
WRB,"W.R. Berkley Corp",66.25,0.87,+1.33%,65.87,66.66,65.78,108449,"12:49 ET"
WRI,"Weingarten Realty Investors",21.44,0.13,+0.61%,21.4,21.76,21.34,98317,"12:50 ET"
