Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NCR,"NCR Corp",36.14,0.81,+2.29%,36.2,35.39,639846,"12:47 ET"
NDSN,"Nordson Corp",198.56,-0.079999999999984,-0.04%,200.85,196.92,41993,"12:45 ET"
NEOG,"Neogen Cp",82.25,0.39,+0.48%,82.59,81.41,91651,"12:37 ET"
NEU,"Newmarket Corp",394.99,0.63,+0.16%,397,392,17206,"12:53 ET"
NFG,"National Fuel Gas Company",42.4,0.4,+0.95%,42.94,42.14,68066,"12:49 ET"
NGVT,"Ingevity Corp",73.4,1.23,+1.70%,74.16,72.49,53045,"12:50 ET"
NJR,"Newjersey Resources Corp",34.77,0.40000000000001,+1.16%,35.09,34.58,75561,"12:38 ET"
NKTR,"Nektar Therapeutics",18.47,-0.26,-1.39%,18.9,18.35,257358,"12:49 ET"
NNN,"National Retail Properties",41.85,0.59,+1.43%,42.45,41.45,535705,"12:49 ET"
NSP,"Insperity Inc",85.75,0.34999999999999,+0.41%,86.2,84.99,41243,"12:53 ET"
NTCT,"Netscout Systems",27.57,-0.02,-0.07%,28.04,27.41,106280,"12:48 ET"
NUS,"Nu Skin Enterprises",53.26,0.7,+1.33%,53.42,51.51,69475,"12:49 ET"
NUVA,"Nuvasive Inc",53.49,1.21,+2.31%,53.93,52.17,194392,"12:53 ET"
NVT,"Nvent Electric Plc",23.02,0.39,+1.72%,23.11,22.81,126767,"12:52 ET"
NWE,"Northwestern Corp",56.22,-0.23,-0.41%,57.48,56.06,57373,"12:53 ET"
NYCB,"New York Community Bancorp",10.28,0.14,+1.38%,10.36,10.14,1055735,"12:47 ET"
NYT,"New York Times Company",49.89,0.57,+1.16%,50.01,49.18,321682,"12:50 ET"
OC,"Owens Corning Inc",77.52,0.069999999999993,+0.09%,78.29,77.16,375392,"12:48 ET"
OFC,"Corporate Office Properties",25.72,-0.16,-0.62%,26.2,25.68,101436,"12:51 ET"
OGE,"Oge Energy Corp",31.15,0.46,+1.50%,31.39,30.87,430161,"12:53 ET"
OGS,"One Gas Inc",76.05,0.13,+0.17%,77.22,75.71,39807,"12:38 ET"
OHI,"Omega Healthcare Investors",36.88,-0.23999999999999,-0.65%,37.72,36.85,297104,"12:51 ET"
OI,Owens-Illinois,11.2,0.18,+1.63%,11.39,11.09,242318,"12:51 ET"
