Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CSCO,"Cisco Systems Inc",44.54,-0.15,-0.34%,44.65,44.82,44.37,4928466,"12:50 ET"
CSGP,"Costar Group Inc",916.94,11.61,+1.28%,901.75,920.08,901.75,30739,"12:46 ET"
CSGS,"C S G Sys Intl",44.8,0.34,+0.76%,44.81,45.19,44.66,73745,"12:47 ET"
CSII,"Cardiovascular Syst",43.24,0.1,+0.23%,43.5,43.51,42.95,39385,"12:43 ET"
CSIQ,"Canadian Solar Inc",52.82,-0.34,-0.64%,54.45,56.42,52.39,2544067,"12:49 ET"
CSOD,"Cornerstone Ondemand",45.91,-0.49,-1.06%,46.36,46.82,45.88,75797,"12:37 ET"
CSTE,"Caesarstone Sdot-Yam",10.96,0.32,+3.01%,10.64,11.1,10.64,87006,"12:37 ET"
CSX,"CSX Corp",89.92,0.37,+0.41%,89.89,90.51,89.22,1734504,"12:49 ET"
CTAS,"Cintas Corp",341.78,-6.22,-1.79%,354.97,354.97,340.53,170081,"12:49 ET"
CTBI,"Community TR Bancp",36.57,0.75,+2.09%,35.86,36.65,35.8,12119,"12:28 ET"
CTRE,"Caretrust REIT Inc",22.76,-0.069999999999997,-0.31%,23.11,23.3,22.75,215544,"12:48 ET"
CTSH,"Cognizant Tech Sol",81.31,0.29000000000001,+0.36%,81.35,81.89,81.17,455566,"12:46 ET"
CTXS,"Citrix Systems Inc",133.39,0.66999999999999,+0.50%,133.58,134.09,132.28,443319,"12:47 ET"
CVAC,"Curevac N.V.",101,-7.84,-7.20%,103.25,104.7,97.5,322148,"12:36 ET"
CVBF,"Cvb Financial Corp",19.55,0.55,+2.89%,19.21,19.62,19.11,102721,"12:49 ET"
CVCO,"Cavco Inds Inc",179.62,-2.22,-1.22%,181.78,184.68,179.01,5502,"12:45 ET"
CVET,"Covetrus Inc",31.44,0.62,+2.01%,30.95,31.57,30.7,219028,"12:49 ET"
CVGW,"Calavo Growers Inc",69.92,3.56,+5.36%,66.21,70.07,66.15,61979,"12:48 ET"
CVLT,"Commvault Systems",56.21,0.32,+0.57%,56.02,56.33,55.6,148495,"12:44 ET"
CWST,"Casella Waste Sys",62.21,-0.079999999999998,-0.13%,62.44,62.87,62.06,75041,"12:47 ET"
CYBR,"Cyberark Soft Ord",161.86,-0.97999999999999,-0.60%,163.17,166.05,157.34,783623,"12:49 ET"
CYCN,"Cyclerion Therapeutics Inc",3.22,0,0.00%,3.2,3.26,3.15,35351,"12:31 ET"
CYRX,"Cryoport Inc",49.77,-0.12,-0.24%,49.7,50.74,47.64,294320,"12:49 ET"
CYTK,Cytokinetics,20.63,0.27,+1.33%,20.28,20.67,19.85,143999,"12:46 ET"
CZR,"Caesars Entertainment Inc",76.43,2.12,+2.85%,74.64,77.45,74.64,480034,"12:49 ET"
DBX,"Dropbox Inc",24.82,-0.050000000000001,-0.20%,24.88,25.16,24.42,2987333,"12:50 ET"
DCPH,"Deciphera Pharmaceuticals Inc",59.55,-1.53,-2.50%,61.52,61.68,59.24,74441,"12:42 ET"
DCT,"Duck Creek Technologies Inc",45.19,-0.53,-1.16%,45.83,45.93,44.03,146396,"12:49 ET"
DDOG,"Datadog Inc Cl A",108.49,-2.58,-2.32%,110.71,111.7,107.66,906153,"12:49 ET"
DHC,"Diversified Healthcare Trust",4.22,0.08,+1.93%,4.17,4.32,4.17,331252,"12:35 ET"
DHIL,"Diamond Hill Inv",153.25,1.37,+0.90%,151.53,153.25,150.95,2614,"12:49 ET"
